,precision,recall,f1-score,support
劑,1.0,1.0,1.0,6.0
力,1.0,1.0,1.0,10.0
功,1.0,1.0,1.0,17.0
加,1.0,1.0,1.0,10.0
劣,1.0,1.0,1.0,7.0
助,1.0,1.0,1.0,10.0
努,1.0,1.0,1.0,17.0
劫,1.0,1.0,1.0,7.0
勁,1.0,1.0,1.0,10.0
勃,1.0,1.0,1.0,17.0
勇,0.9090909090909091,1.0,0.9523809523809523,10.0
勉,1.0,1.0,1.0,17.0
勒,1.0,1.0,1.0,6.0
動,1.0,1.0,1.0,10.0
勘,1.0,1.0,1.0,17.0
務,1.0,1.0,1.0,10.0
勝,1.0,1.0,1.0,10.0
勞,1.0,1.0,1.0,16.0
募,1.0,1.0,1.0,7.0
勢,1.0,1.0,1.0,17.0
勤,1.0,1.0,1.0,10.0
勳,1.0,1.0,1.0,10.0
勵,1.0,1.0,1.0,6.0
勸,1.0,1.0,1.0,16.0
勺,0.875,1.0,0.9333333333333333,7.0
勻,1.0,0.8571428571428571,0.923076923076923,7.0
勾,1.0,0.8571428571428571,0.923076923076923,7.0
勿,0.8571428571428571,0.8571428571428571,0.8571428571428571,7.0
包,0.9090909090909091,1.0,0.9523809523809523,10.0
匆,0.8333333333333334,0.8333333333333334,0.8333333333333334,6.0
匈,1.0,1.0,1.0,6.0
化,1.0,1.0,1.0,10.0
北,1.0,1.0,1.0,10.0
匠,1.0,1.0,1.0,10.0
匪,1.0,1.0,1.0,7.0
匯,1.0,1.0,1.0,10.0
匹,1.0,1.0,1.0,17.0
區,1.0,1.0,1.0,10.0
十,1.0,1.0,1.0,7.0
千,1.0,0.9,0.9473684210526316,10.0
升,1.0,1.0,1.0,10.0
午,1.0,1.0,1.0,7.0
卉,0.9090909090909091,1.0,0.9523809523809523,10.0
半,1.0,1.0,1.0,17.0
卑,1.0,0.8571428571428571,0.923076923076923,7.0
卒,1.0,1.0,1.0,7.0
卓,1.0,1.0,1.0,10.0
協,1.0,1.0,1.0,10.0
南,1.0,1.0,1.0,10.0
博,1.0,1.0,1.0,10.0
卜,1.0,1.0,1.0,7.0
卡,1.0,1.0,1.0,6.0
印,1.0,1.0,1.0,10.0
危,1.0,1.0,1.0,17.0
即,1.0,1.0,1.0,17.0
卵,1.0,1.0,1.0,7.0
卷,0.9375,0.9375,0.9375,16.0
卸,1.0,1.0,1.0,7.0
卻,1.0,1.0,1.0,6.0
卿,1.0,1.0,1.0,10.0
厚,1.0,1.0,1.0,10.0
原,1.0,1.0,1.0,10.0
厭,1.0,1.0,1.0,7.0
厲,1.0,1.0,1.0,16.0
去,0.7777777777777778,1.0,0.8750000000000001,7.0
參,1.0,1.0,1.0,6.0
又,0.875,1.0,0.9333333333333333,7.0
叉,1.0,0.9411764705882353,0.9696969696969697,17.0
及,0.9444444444444444,1.0,0.9714285714285714,17.0
友,1.0,1.0,1.0,10.0
