,precision,recall,f1-score,support
志,1.0,1.0,1.0,10.0
忠,1.0,1.0,1.0,10.0
念,1.0,1.0,1.0,10.0
思,0.75,0.9,0.8181818181818182,10.0
怡,1.0,1.0,1.0,10.0
恆,1.0,0.9,0.9473684210526316,10.0
恩,0.875,0.7,0.7777777777777777,10.0
悅,1.0,1.0,1.0,10.0
惠,1.0,1.0,1.0,10.0
意,1.0,1.0,1.0,10.0
愛,1.0,1.0,1.0,10.0
愷,1.0,1.0,1.0,10.0
慈,1.0,1.0,1.0,10.0
慧,1.0,1.0,1.0,10.0
慶,1.0,1.0,1.0,10.0
憲,1.0,1.0,1.0,10.0
憶,1.0,1.0,1.0,10.0
應,1.0,1.0,1.0,10.0
成,1.0,1.0,1.0,10.0
戴,1.0,1.0,1.0,10.0
戶,1.0,1.0,1.0,10.0
房,1.0,1.0,1.0,10.0
所,1.0,1.0,1.0,10.0
扶,1.0,1.0,1.0,10.0
承,1.0,1.0,1.0,10.0
技,1.0,1.0,1.0,10.0
投,1.0,0.9,0.9473684210526316,10.0
拉,1.0,1.0,1.0,10.0
拓,1.0,1.0,1.0,10.0
振,1.0,1.0,1.0,10.0
捷,1.0,1.0,1.0,10.0
揚,1.0,1.0,1.0,10.0
政,1.0,1.0,1.0,10.0
敏,1.0,1.0,1.0,10.0
教,1.0,1.0,1.0,10.0
敦,1.0,1.0,1.0,10.0
敬,1.0,1.0,1.0,10.0
整,1.0,1.0,1.0,10.0
數,1.0,1.0,1.0,10.0
文,1.0,1.0,1.0,10.0
斌,1.0,1.0,1.0,10.0
料,1.0,1.0,1.0,10.0
斯,1.0,1.0,1.0,10.0
新,1.0,1.0,1.0,10.0
方,1.0,1.0,1.0,10.0
施,1.0,1.0,1.0,10.0
旅,1.0,1.0,1.0,10.0
日,0.9090909090909091,1.0,0.9523809523809523,10.0
旭,1.0,1.0,1.0,10.0
旺,1.0,1.0,1.0,10.0
旻,1.0,1.0,1.0,10.0
昆,1.0,0.9,0.9473684210526316,10.0
昇,1.0,1.0,1.0,10.0
昌,1.0,0.9,0.9473684210526316,10.0
明,1.0,1.0,1.0,10.0
易,1.0,1.0,1.0,10.0
昕,1.0,1.0,1.0,10.0
星,0.9090909090909091,1.0,0.9523809523809523,10.0
映,1.0,1.0,1.0,10.0
春,1.0,1.0,1.0,10.0
昭,0.8333333333333334,1.0,0.9090909090909091,10.0
昱,1.0,1.0,1.0,10.0
昶,1.0,1.0,1.0,10.0
時,1.0,1.0,1.0,10.0
